patente_id,nro_registro,nro_expediente_db,nro_expediente_indecopi,tipo,titulo,ipc_codigo,fuente,fuente_url,estado_revision,notas
53,002715,001335-2019/DIN,001335-2019/DIN,Patente de invención,NANOADSORBENTES MAGNÉTICOS COMPUESTOS DE ZEOLITAS TIPO 5A Y MAGHEMITA PARA LA EFICIENTE CAPTURA Y REMOCIÓN DE PLOMO DEL AGUA,,,,pendiente,"Revisar: posibles expedientes adicionales 001335-2019; 002715-2023"
326,12076,001518-2019 DIN,001518-2019/DIN,Patente de invención,MÉTODO PARA LA OBTENCIÓN DE MICROESTRUCTURAS CRISTALINAS DE COBRE (0) APLICANDO RADIACIÓN MICROONDAS SOBRE UNA MEZCLA BINARIA DE BUTANOL-GLICERINA,,,,pendiente,
194,1481,001682-2019/DIN,001682-2019/DIN,Modelo de utilidad,Dispositivo de Generación de Gas Hidrógeno y Oxígeno para su inyección en motores a combustión interna de cuatro tiempos.,,,,pendiente,
360,12235,001758-2019,001758-2019/DIN,Patente de invención,MÉTODO DE CRIOPRESERVACIÓN PARA CÉLULAS ESPERMATOGONIALES DE ALPACA,,,,pendiente,
421,12235,001758-2019,001758-2019/DIN,Patente de invención,MÉTODO DE CRIOPRESERVACIÓN PARA CÉLULAS ESPERMATOGONIALES DE ALPACA,,,,pendiente,
422,12798,001759-2019,001759-2019/DIN,Patente de invención,MEDIO DE CRIOPRESERVACIÓN SUPLEMENTADO CON LEPIDIUM MEYENII,,,,pendiente,
423,12751,001760-2019,001760-2019/DIN,Patente de invención,MÉTODO DE CRIOPRESERVACIÓN DE BIOPSIAS TESTICULARES DE ALPACA (VICUGNA PACOS),,,,pendiente,
265,1402,2003-2019,002003-2019/DIN,Modelo de utilidad,FOLDER CON FASTENER DESGLOSABLE,,,,pendiente,
64,2494,002090-2019/DIN,002090-2019/DIN,Modelo de utilidad,"MÁQUINA DISPENSADORA DE AGUA PARA PREPARADO DE BEBIDAS FILTRANTES, CON MECANISMOS DE PAGO",,,,pendiente,
199,1429,002090-2019,002090-2019/DIN,Modelo de utilidad,MÁQUINA DISPENSADORA DE BEBIDAS FILTRANTES CON MECANISMO DE PAGOS,,,,pendiente,
431,354-2024,2121-2019,002121-2019/DIN,Patente de invención,EQUIPO Y PROCESAMIENTO DE ENFRIAMIENTO Y NEUTRALIZACIÓN DEL AGUA DE PURGAS DE CALDERAS,,,,pendiente,
209,1231,002177-2019,002177-2019/DIN,Modelo de utilidad,"SISTEMA DE CASCO DE SEGURIDAD PARA EL MONITOREO DE LA LOCALIZACIÓN INALÁMBRICA Y CONDICIONES AMBIENTALES, PARA LA DETECCIÓN DE SITUACIONES DE EMERGENCIA EN MINERÍA SUBTERRÁNEA",,,,pendiente,
308,000338 2023,002175-2019,002175-2019/DIN,Patente de invención,MÉTODO DE PREPARACIÓN DE COMPÓSITOS DE RESINA DE POLIÉSTER INSATURADO REFORZADOS CON MICROESTRUCTURAS CRISTALINAS DE COBRE (0),,,,pendiente,
210,840-2021/DIN-INDECOPI,2494-2019/DIN,002494-2019/DIN,Modelo de utilidad,UN DISPOSITIVO PARA LEER Y COMPARAR MÚLTIPLES MEDICIONES DE PARÁMETROS A LA VEZ EN EQUIPOS DE LABOTARIO DE INGENIERÍA,,,,pendiente,
208,2687,002687-2019,002687-2019/DIN,Modelo de utilidad,DISPOSITIVO PARA SOPORTE Y VENTILACIÓN DE BATERÍAS SOLARES,,,,pendiente,
